Issue id,Summary,Status,Priority,Resolution,Description
13306629,Upgrade to logback 1.2.3 to address CVE-2017-5929,Resolved,High,Duplicate,Recent scan results identified the following CVE that requires this upgrade to address [https://nvd.nist.gov/vuln/detail/CVE-2017-5929]
13300235,Upgrade Cassandra Java Driver to 4.6,Resolved,Normal,Fixed,After releasing C* 4.0 I think it would be a good idea to upgrade to the latest Cassandra Java Driver that is being used internally.
13312893,provide a configuration option such as endpoint_verification_method,Open,Normal,,"With cassandra-9220, it's possible to configure endpoint/hostname verification when enabling internode encryption. However, you don't have any control over what endpoint is used for the endpoint verification; instead, cassandra will automatically try to use node IP (not node hostname) for endpoint verification, so if your node certificates don't include the IP in the ssl certificate's SAN list, then you'll get an error like: {code:java} ERROR [MessagingService-Outgoing-/10.10.88.194-Gossip] 2018-11-13 10:20:26,903 OutboundTcpConnection.java:606 - SSL handshake error for outbound connection to 50cc97c1[SSL_NULL_WITH_NULL_NULL: Socket[addr=/<NODE_IP_ADDRESS>,port=7001,localport=47684]] javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No subject alternative names matching IP address <NODE_IP_ADDRESS> found at sun.security.ssl.Alerts.getSSLException(Alerts.java:192) {code} From what I've seen, most orgs will not have node IPs in their certs. So, it will be best if cassandra would provide another configuration option such as *{{endpoint_verification_method}}* which you could set to ""ip"" or ""fqdn"" or something else (eg ""hostname_alias"" if for whatever reason "
13311188,Update Netty 4.0.44 -> 4.1.50 (fix security/performance issues),Resolved,Normal,Fixed,"See https://issues.apache.org/jira/browse/CASSANDRA-15868 for the same issue on 4.0 / trunk. Attached is an OWASP dependency report for Netty 4.0.44, which identifies 3 of the same vulnerabilities as above. Additionally, 4.1.50 contains aarch64 native libraries which can improve performance on ARM processors."
13298084,DOC - Primary range repair should be run on every datacenter,Resolved,Normal,Fixed,"In the Cassandra document page: [http://cassandra.apache.org/doc/latest/operating/repair.html], there is an explanation which makes confusion on users' side: {quote}The {{-pr}} flag will only repair the “primary” ranges on a node, so you can repair your entire cluster by running {{nodetool repair -pr}} on each node in a single datacenter. {quote} This made confusion that ""running nodetool repair -pr on each node in a single DC"" was sufficient to do a full repair on a multi-DC cluster. The correct way to use the primary range repair should be {quote}if you are using “nodetool repair -pr” you must run it on *EVERY* node in *EVERY* data center, no skipping allowed. {quote} Please make a doc fix. Thanks."
13313522,DOC - nodetool getendpoints man page improvements,Open,Normal,,Please include support for compound primary key. Ex: nodetool getendpoints keyspace1 table1 pk1:pk2:pk2 Thanks.
13301584,/usr/bin/cassandra looking for wrong libjemalloc.so file,Resolved,Normal,Fixed,"In /usr/sbin/cassandra Linux) if [ -z $CASSANDRA_LIBJEMALLOC ] ; then which ldconfig > /dev/null 2>&1 if [ $? = 0 ] ; then # e.g. for CentOS dirs=""/lib64 /lib /usr/lib64 /usr/lib `ldconfig -v 2>/dev/null | grep -v '^\s' | sed 's/^\([^:]*\):.*$/\1/'`"" else # e.g. for Debian, OpenSUSE dirs=""/lib64 /lib /usr/lib64 /usr/lib `cat /etc/ld.so.conf /etc/ld.so.conf.d/*.conf | grep '^/'`"" fi dirs=`echo $dirs | tr "" "" "":""` CASSANDRA_LIBJEMALLOC=$(find_library '.*/libjemalloc\.so\(\.1\)*' $dirs) However... # find /usr/lib64 -name ""*jemalloc*"" /usr/lib64/libjemalloc.so.2"
13304005,Tiny documentation fix in Architecture/Overview,Resolved,Normal,Fixed,"I noticed a small issue in the documentation, so I'd like to fix it. This issue also exists to guide me to the proper way to make contributions to Cassandra, hopefully larger ones in the future, so please forgive the trivialness of this fix."
13307023,Please update Apache Cassandra Repo link in install docs,Resolved,Normal,Won't Fix,In the very first section of Install Docs Add the Apache Cassandra repository keys to the list of trusted keys on the server: $ curl https://www.apache.org/dist/cassandra/KEYS | sudo apt-key - [Not working] Please change the address. I found this working: curl https://downloads.apache.org/cassandra/KEYS | sudo apt-key add -
13307273,"Typo in website documentation for file ""mvs.rst""",Resolved,Normal,Resolved,"It appears that there is a typo in the doc for mvs.rst file. Please refer this link - [https://cassandra.apache.org/doc/latest/cql/mvs.html#drop-materialized-view] _Current sentence in doc:_ ""Dropping a materialized view {color:#de350b}*users* {color}the DROP MATERIALIZED VIEW statement:"" _Expected sentence in doc:_ ""Dropping a materialized view {color:#00875a}*using* {color}the DROP MATERIALIZED VIEW statement:"" _Patch for proposed fix:_ [https://github.com/tsingh2k15/cassandra/commit/1a56c295843bd74f2e856c01fa76a4676875dc7c] Please review and let me know if this patch can be accepted as a fix?"
