Issue id,Summary,Status,Priority,Resolution,Description
13434743,shaded mapreduce and shaded byo-hadoop client artifacts contains no classes,Resolved,Blocker,Fixed,"After fixing the logging problem in HBASE-26870, we could see the actual error. {noformat} /home/jenkins/jenkins-home/workspace/ase_Nightly_HBASE-26870-branch-2/hadoop-3/bin/hadoop --config /home/jenkins/jenkins-home/workspace/ase_Nightly_HBASE-26870-branch-2/output-integration/hadoop-3/hbase-conf/ jar /home/jenkins/jenkins-home/workspace/ase_Nightly_HBASE-26870-branch-2/hbase-client/lib/shaded-clients/hbase-shaded-mapreduce-2.6.0-SNAPSHOT.jar importtsv -Dimporttsv.columns=HBASE_ROW_KEY,family1:column1,family1:column4,family1:column3 test:example example/ -libjars /home/jenkins/jenkins-home/workspace/ase_Nightly_HBASE-26870-branch-2/hbase-client/bin/../lib/shaded-clients/hbase-shaded-mapreduce-2.6.0-SNAPSHOT.jar:/home/jenkins/jenkins-home/workspace/ase_Nightly_HBASE-26870-branch-2/hbase-client/bin/../lib/client-facing-thirdparty/audience-annotations-0.5.0.jar:/home/jenkins/jenkins-home/workspace/ase_Nightly_HBASE-26870-branch-2/hbase-client/bin/../lib/client-facing-thirdparty/commons-logging-1.2.jar:/home/jenkins/jenkins-home/workspace/ase_Nightly_HBASE-26870-branch-2/hbase-client/bin/../lib/client-facing-thirdparty/htrace-core4-4.1.0-incubating.jar:/home/jenkins/jenkins-home/works"
13424759,"Netty ""leak detected"" and OutOfDirectMemoryError due to direct memory buffering with SASL implementation",Resolved,Blocker,Fixed,"Under constant data ingestion, using default Netty based RpcServer and RpcClient implementation results in OutOfDirectMemoryError, supposedly caused by leaks detected by Netty's LeakDetector. {code:java} 2022-01-25 17:03:10,084 ERROR [S-EventLoopGroup-1-3] util.ResourceLeakDetector - java:115) org.apache.hbase.thirdparty.io.netty.handler.codec.ByteToMessageDecoder.expandBTW. have you run the related test case?(ByteToMessageDecoder.java:538) org.apache.hbase.thirdparty.io.netty.handler.codec.ByteToMessageDecoder$1.cumulate(ByteToMessageDecoder.java:97) org.apache.hbase.thirdparty.io.netty.handler.codec.ByteToMessageDecoder.channelRead(ByteToMessageDecoder.java:274) org.apache.hbase.thirdparty.io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:379) org.apache.hbase.thirdparty.io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:365) org.apache.hbase.thirdparty.io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:357) org.apache.hbase.thirdparty.io.netty.channel.DefaultChannelPipeline$HeadContext.channelRead(DefaultChannelPipeline.java:1410) org."
13432116,Backport the log4j2 changes to branch-2,Resolved,Blocker,Fixed,"One thing is that, we'd better make sure that users can still use the old log4j.properties for logging."
13432167,Missing opentelemetry agent in hadoop-two-compat.xml,Resolved,Blocker,Fixed,"We do not have hadoop-two-compat.xml on master, this is probably why we missed this file when backporting to branch-2."
13424163,The way we bypass broken track file is not enough in StoreFileListFile,Resolved,Critical,Fixed,"When implementing HBASE-26690, I found that a pb message can be parsed with partial bytes, if we stop at some special point. So we can not rely on the pb parser to always throw InvalidProtocolBufferException for us, we need to detect the incomplete file by ourselves."
13434041,NPE caused by WAL Compression and Replication,Resolved,Critical,Won't Fix,"My cluster uses HBase 1.4.12, opened WAL compression and replication. I could found replication sizeOfLogQueue backlog, and after some debugs, found the NPE throwed by [https://github.com/apache/hbase/blob/branch-1/hbase-common/src/main/java/org/apache/hadoop/hbase/io/util/LRUDictionary.java#L109:] !image-2022-03-16-14-25-49-276.png! The root cause for this problem is: WALEntryStream#checkAllBytesParsed: !image-2022-03-16-14-30-15-247.png! resetReader does not create a new reader, the original CompressionContext and the dict in it will still be retained. However, at this time, the position is reset to 0, which means that the HLog needs to be read from the beginning, but the cache that has not been cleared is still used, so there will be problems: the same data has already in the LRUCache, and it will be directly added to the cache again. Recreate a new reader here, the problem is solved. I will open a PR later. But, there are some other places in the current code to resetReader or seekOnFs. I guess these codes doesn't take into account the wal compression case at all... In theory, as long as the file is read again, the LRUCache should also be rolled back, otherwise there will be in"
13425509,"Snapshot is corrupted due to interaction between move, warmupRegion, compaction, and HFileArchiver",Resolved,Critical,Duplicate,"There is an interesting sequence of events which leads to split-brain, double-assignment type of behavior with management of store files. The scenario is this: # Take snapshot # RegionX of snapshotted table is hosted on RegionServer1. # Stop RegionServer1, using {{region_mover}}, gracefully moving all regions to other regionservers using {{move}} RPCs. # RegionX is now opened on RegionServer2. # RegionServer2 compacts RegionX after opening. # RegionServer1 starts and uses {{region_mover}} to {{move}} all previously owned regions back to itself. # The HMaster RPC to {{move}} calls {{warmupRegion}} on RegionServer1. # As part of {{warmupRegion}}, RegionServer1 opens all store files of RegionX. CompactedHFilesDischarger chore has not yet archived the pre-compacted store file. RegionServer1 finds both the pre-compacted store file and post-compacted store file. It logs a warning and archives the pre-compacted file. # RegionServer1 has warmed up the region, so now HMaster resumes the {{move}} and sends {{close}} RegionX to RegionServer2. # RegionServer2 closes its store files. As part of this, it archives any compacted files which have not yet been archived by the {{CompactedHFilesDischa"
13432570,ShortCircuitingClusterConnection fails to close RegionScanners when making short-circuited calls,Resolved,Critical,Fixed,"Just ran into this on the Phoenix side. We retrieve a Connection via {{{}RegionCoprocessorEnvironment.createConnection... getTable(...){}}}. And then call get on that table. The Get's key happens to be local. Now each call to table.get() leaves an open StoreScanner around forever. (verified with a memory profiler). There references are held via RegionScannerImpl.storeHeap.scannersForDelayedClose. Eventially the RegionServer goes into a GC of death and can only ended with kill -9. The reason appears to be that in this case there is no currentCall context. Some time in 2.x the Rpc handler/call was made responsible for closing open region scanners, but we forgot to handle {{ShortCircuitingClusterConnection}} It's not immediately clear how to fix this. But it does make ShortCircuitingClusterConnection useless and dangerous. If you use it, you *will* create a giant memory leak."
13423215,Wait on the future returned by FanOutOneBlockAsyncDFSOutput.flush would stuck,Resolved,Critical,Fixed,"Consider there are three dataNodes: dn1,dn2,and dn3, and we write some data to {{FanOutOneBlockAsyncDFSOutput}} and then flush it, there are one {{Callback}} in {{FanOutOneBlockAsyncDFSOutput.waitingAckQueue}}. If the ack from dn1 arrives firstly and triggers Netty to invoke {{FanOutOneBlockAsyncDFSOutput.completed}} with dn1's channel, then in {{FanOutOneBlockAsyncDFSOutput.completed}}, dn1's channel is removed from {{Callback.unfinishedReplicas}}. But dn2 and dn3 respond slowly, before dn2 and dn3 sending ack , dn1 is shut down or have a exception, so {{FanOutOneBlockAsyncDFSOutput.failed}} is triggered by Netty with dn1's channel, and because the {{Callback.unfinishedReplicas}} does not contain dn1's channel,the {{Callback}} is skipped in {{FanOutOneBlockAsyncDFSOutput.failed}} method, just as following line250, and at line 245, {{FanOutOneBlockAsyncDFSOutput.state}} is set to {{State.BROKEN}}. {code:java} 233 private synchronized void failed(Channel channel, Supplier<Throwable> errorSupplier) { 234 if (state == State.BROKEN || state == State.CLOSED) { 235 return; 236 } .... 244 // disable further write, and fail all pending ack. 245 state = State.BROKEN; 246 Throwable error = e"
13422683,HFileLinkCleaner should be added even if snapshot is disabled,Resolved,Critical,Fixed,"We encountered a problem in our cluster: 1. Cluster has many snapshots, cause the archive directory is too big. 2. We delete some snapshots, but the cleaner runs slowly because this is a race in synchronized method of SnapshotHFileCleaner. 3. We delete all snapshots, and disable snapshot feature(hbase.snapshot.enabled=false), so the cleaner will skip the synchronized method in SnapshotHFileCleaner. 4. After cleaner runs, some back reference and data files under archive directory are deleted, but they are still used by some restored tables. This does not meet expectations. One solution is add HFileLinkCleaner even if snapshot is disabled."
