Issue id,Summary,Status,Priority,Resolution,Description
1606681,Port |Bug 752376 - Avoid calling scrollbox.ensureElementIsVisible() if the tab strip doesn't overflow to prevent layout flushes| to SeaMonkey,RESOLVED,--,FIXED,Port the following bug: * Bug 752376 - Avoid calling scrollbox.ensureElementIsVisible() if the tab strip doesn't overflow to prevent layout flushes
1606979,SeaMonkey (Mac) update version 2.49.5 made it impossible to edit old webpages!,UNCONFIRMED,--,,"User Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Safari/605.1.15 Steps to reproduce: I was editing old webpages, just changing the wording in some text.. Actual results: My page backgrounds disappeared and the placement of graphics was way off. I wasted 2 hours, doing everything carefully and testing my results step by step, but it was impossible to get things right. I had to go back to SeaMonkey version 2.49.4 in order to keep my page backgrounds and the placement of graphics. I wasted 2 hours today with version x.5 until I finally restored version x.4, and then everything went smoothly. Expected results: I should have been able to edit the text and then upload the edited webpages to my website. But even pages that looked almost OK in SeaMonkey did not look OK in Safari and Chrome. Once I restored the older x.4 version, everything worked as it always has. I love SeaMonkey because of how simple it usually is! (But I wish I could open composer and drag files into it instead of having to browse for them.)"
1607002,"Release Notes: Drop ""Features"" link to Wiki",NEW,P5,,"AFAIK there has never been useful contents on the SeaMonkey [Features Pages](https://wiki.mozilla.org/SeaMonkey/Features/) for ages: At least those for | [2.49.4](https://wiki.mozilla.org/SeaMonkey/Features/2.49.4) | [2.49.3](https://wiki.mozilla.org/SeaMonkey/Features/2.49.3) | [2.49.2](https://wiki.mozilla.org/SeaMonkey/Features/2.49.2) | [2.49.1](https://wiki.mozilla.org/SeaMonkey/Features/2.49.1) | [2.48](https://wiki.mozilla.org/SeaMonkey/Features/2.48) | [2.46](https://wiki.mozilla.org/SeaMonkey/Features/2.46) | [2.48](https://wiki.mozilla.org/SeaMonkey/Features/2.48) | [2.40](https://wiki.mozilla.org/SeaMonkey/Features/2.40) | [2.33.1](https://wiki.mozilla.org/SeaMonkey/Features/2.33.1) |are empty or only contain a lonely hypelink. For [2.39](https://wiki.mozilla.org/SeaMonkey/Features/2.39) | [2.35](https://wiki.mozilla.org/SeaMonkey/Features/2.35) | there was some minimum contents. If we don't have contents for the WIKI that item below ""Other Resources and Links"" should be dropped."
1607025,Port |Bug 822068 - The content loses focus after calling gBrowser.moveTabBackward/moveTabForward| to SeaMonkey,RESOLVED,--,FIXED,Port the following to SeaMonkey: * Bug 822068 - The content loses focus after calling gBrowser.moveTabBackward/moveTabForward
1607173,rss folder management buggy,UNCONFIRMED,--,,"User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.94 Safari/537.36 Steps to reproduce: I subscribed to RSS feeds and managed them in folders. Actual results: The folder management is very confusing. Sometimes one feed gets splitted into a folder and messages part which will not end up in the same folder. Sometimes the feed is recieved in the main folder while displayed in the subfolder. You also will need a restart in order to get things displayed properly in the feed subscriptions. I attached an example (where feed names where shortened due to privacy reasons). You see that the matrixorg feed appears twice in the subscription list alhough it was subscribed once. You also don't see it twice in the main window, but you might have odd results like recieving new messages in the wrong folder. This might be related to a 15 year old bug, which I also experienced: https://bugzilla.mozilla.org/show_bug.cgi?id=296264 Expected results: There sould just be one object that can be moved easily between the folders."
1607598,Attachments won't upload after latest update,RESOLVED,--,INCOMPLETE,"User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:52.0) Gecko/20100101 Firefox/52.0 SeaMonkey/2.49.5 Steps to reproduce: In trying to upload an attachment in my mail carrier (Zimbra) the attachment will not send. Get ""Client error has occurred"" Actual results: Attachment didn't send Expected results: Before the latest update, everything worked fine. Email and attachments sent."
1609590,Install upgrade attempt result in endless reboot requirement and no functioning browser,UNCONFIRMED,--,,"User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0 Steps to reproduce: Ran seamonkey-2.57a1pre.en-US.win64.installer.exe for build 20200114043003. Forgot to close all running Seamonkey windows first. Actual results: The installer required a system reboot to complete the install. I rebooted the computer. On reboot, the Seamonkey icon had a different graphic and, on clicking on it, a messagebox popped up saying I needed to reboot to complete the installation. The same messagebox popped up on my running the installer program, above, again. Rebooted the system again. Same situation. Rebooted the system again. Same situation. Deleted all files and directories from C:\Users\...\AppData\Local\Seamonkey, where the Seamonkey application is. Ran the installer again. The installer went farther this time and didn't request a reboot, but said, ""You don't have sufficient disk space to install to this location."" (There is 245GB of free space.) Looked in AppData\Local again; the Seamonkey directory, which I hadn't deleted, was now gone. Ran the installer again. Seamonkey installed correctly and works fine. If it is true that the installer required a reboot b"
1609903,"dragleave event returns bad target, event.relatedTarget is not set",RESOLVED,P2,INVALID,"+++ This bug was initially created as a clone of Bug #1420590 +++ User Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0 Build ID: 20171024165158 Steps to reproduce: 1. download the attachment and open it in Firefox. 2. drag something into the page and then drag out. Actual results: When dragleave fires, the event.target is set to document (if e10s activated) or XULDocument (if e10s not activated; and accessing event.target throws an error in this case). Expected results: The event.target should be the .dropmask element. (in other browsers)"
1609969,Bookmark import multiplies blanks in Bookmark Text,RESOLVED,P4,INVALID,"Steps how to reproduce with installation of unofficial (by wg9s) De SeaMonkey 2.53.2 (NT 6.1; Win64; x64; rv:60.0) Gecko/20100101 Firefox/60.0 Build 20191230130008 {Milestone=60.3.2 | SourceStamp=f3720549528fd4e297a4b9f285acd2fe1d0a6938} (Default Classic Theme) on German WIN7 64bit: 0. Create some bookmarks and bookmark folders with a single Blank in Names between words 1. Export Bookmarks via Menu ˋBookmarks → Edit Bookmarks → Tools → Export to HTML → Savebookmarks fileˊ 2. Switch to newly created User Profile, import Bookmarks vie Manu ˋBookmarks → Edit Bookmarks → Tools → Import HTML 3. Check Bookmarks in sidebar or Bookmarks Editor, you fill find names damaged by added blanks in strings. 😥 4. Open exported ""bookmarks.html"", check the same strings they are ok ☺ Example: See Heading ""SeaMonkey DE"" in attached Screenshot **Additional Information**: a) Curently I can't tell whether this is SM Version related"
1610468,Seamonkey 2.53.1 grinding to a halt,RESOLVED,--,INCOMPLETE,"User Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:60.0) Gecko/20100101 Firefox/60.0 SeaMonkey/2.53.1 Lightning/5.8.1 Steps to reproduce: Mac OS X 10.14.3. 2.6 GHz Intel Core i7. 16 GN Ram 2400 MHz DDR4. MacBook Pro, 15inch 2018. Just been using Seamonkey as normal. The rainbow cursor keeps coming up at just about every action, as the system grinds down to killing then restarting. This really should not happen. As I am doing this, the rainbow cursor keeps making the typing stop for several seconds, and every action I have to wait several seconds for the rainbow cursor to stop spinning. I had two websites up, on two tabs https://www.bbc.co.uk/sport/football/51184842 https://www.lse.co.uk/members/watchlists/ Actual results: Seamonkey is grinding to a halt. Cannot cope. It can't evenm cop with this website. Expected results: Normal easy browsing that doesnt use up hardly any CPU."
