Issue id,Summary,Status,Priority,Resolution,Description
13525982,Make PySpark working with Python 3.7,Resolved,Blocker,Fixed,"{code} + ./python/run-tests --python-executables=python3 Running PySpark tests. Output is in /home/ec2-user/spark/python/unit-tests.log Will test against the following Python executables: ['python3'] Will test the following Python modules: ['pyspark-connect', 'pyspark-core', 'pyspark-errors', 'pyspark-ml', 'pyspark-mllib', 'pyspark-pandas', 'pyspark-pandas-slow', 'pyspark-resource', 'pyspark-sql', 'pyspark-streaming'] python3 python_implementation is CPython python3 version is: Python 3.7.16 Starting test(python3): pyspark.ml.tests.test_feature (temp output: /home/ec2-user/spark/python/target/8ca9ab1a-05cc-4845-bf89-30d9001510bc/python3__pyspark.ml.tests.test_feature__kg6sseie.log) Starting test(python3): pyspark.ml.tests.test_base (temp output: /home/ec2-user/spark/python/target/f2264f3b-6b26-4e61-9452-8d6ddd7eb002/python3__pyspark.ml.tests.test_base__0902zf9_.log) Starting test(python3): pyspark.ml.tests.test_algorithms (temp output: /home/ec2-user/spark/python/target/d1dc4e07-e58c-4c03-abe5-09d8fab22e6a/python3__pyspark.ml.tests.test_algorithms__lh3wb2u8.log) Starting test(python3): pyspark.ml.tests.test_evaluation (temp output: /home/ec2-user/spark/python/target/3f42dc79-c945-4"
13524752,DataFrame.drop should handle multi columns properly,Resolved,Blocker,Fixed,"{code:java} from pyspark.sql import Row df1 = spark.createDataFrame([(14, ""Tom""), (23, ""Alice""), (16, ""Bob"")], [""age"", ""name""]) df2 = spark.createDataFrame([Row(height=80, name=""Tom""), Row(height=85, name=""Bob"")]) df1.join(df2, df1.name == df2.name, 'inner').drop('name', 'age').show() {code} This works in 3.3 {code:java} +------+ |height| +------+ | 85| | 80| +------+ {code} but fails in 3.4 {code:java} --------------------------------------------------------------------------- AnalysisException Traceback (most recent call last) Cell In[1], line 4 2 df1 = spark.createDataFrame([(14, ""Tom""), (23, ""Alice""), (16, ""Bob"")], [""age"", ""name""]) 3 df2 = spark.createDataFrame([Row(height=80, name=""Tom""), Row(height=85, name=""Bob"")]) ----> 4 df1.join(df2, df1.name == df2.name, 'inner').drop('name', 'age').show() File ~/Dev/spark/python/pyspark/sql/dataframe.py:4913, in DataFrame.drop(self, *cols) 4911 jcols = [_to_java_column(c) for c in cols] 4912 first_column, *remaining_columns = jcols -> 4913 jdf = self._jdf.drop(first_column, self._jseq(remaining_columns)) 4915 return DataFrame(jdf, self.sparkSession) File ~/Dev/spark/python/lib/py4j-0.10.9.7-src.zip/py4j/java_gateway.py:1322, in JavaMemb"
13524945,Prevent `docker-image-tool.sh` from publishing OCI manifests,Resolved,Blocker,Fixed,https://github.com/docker/buildx/issues/1509
13524305,JsonProtocol should handle null JSON strings,Resolved,Blocker,Fixed,"*Event Log* {code} {""Declaring Class"":""org.apache.spark.sql.catalyst.expressions.GeneratedClass$GeneratedIteratorForCodegenStage1"",""Method Name"":""columnartorow_nextBatch_0$"",""File Name"":null,""Line Number"":-1} {code} *Apache Spark 3.4* {code} 3/02/10 16:54:46 ERROR ReplayListenerBus: Exception parsing Spark event log: file:/Users/dongjoon/data/history/eventlog_v2_spark-1676069204164-1qq70hioosynfzib9rmi77wbavnao-driver-job/events_1_spark-1676069204164-1qq70hioosynfzib9rmi77wbavnao-driver-job.zstd java.lang.IllegalArgumentException: requirement failed: Expected string, got NULL at scala.Predef$.require(Predef.scala:281) at org.apache.spark.util.JsonProtocol$JsonNodeImplicits.extractString(JsonProtocol.scala:1614) at org.apache.spark.util.JsonProtocol$.$anonfun$stackTraceFromJson$1(JsonProtocol.scala:1561) at scala.collection.Iterator$$anon$10.next(Iterator.scala:461) at scala.collection.Iterator.foreach(Iterator.scala:943) at scala.collection.Iterator.foreach$(Iterator.scala:943) at scala.collection.AbstractIterator.foreach(Iterator.scala:1431) at scala.collection.generic.Growable.$plus$plus$eq(Growable.scala:62) at scala.collection.generic.Growable.$plus$plus$eq$(Growable.scala:53) "
13524280,CONV() silently overflows returning wrong results,In Progress,Critical,,"spark-sql> SELECT CONV(SUBSTRING('0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', 3), 16, 10); 18446744073709551615 Time taken: 2.114 seconds, Fetched 1 row(s) spark-sql> set spark.sql.ansi.enabled = true; spark.sql.ansi.enabled true Time taken: 0.068 seconds, Fetched 1 row(s) spark-sql> SELECT CONV(SUBSTRING('0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', 3), 16, 10); 18446744073709551615 Time taken: 0.05 seconds, Fetched 1 row(s) In ANSI mode we should raise an error for sure. In non ANSI either an error or a NULL maybe be acceptable. Alternatively, of course, we could consider if we can support arbitrary domains since the result is a STRING again."
13522751,Spark Driver hangs on OOM during Broadcast when AQE is enabled,Resolved,Critical,Fixed,"Repro steps: {code} $ spark-shell --conf spark.driver.memory=1g val df = spark.range(5000000).withColumn(""str"", lit(""abcdabcdabcdabcdabasgasdfsadfasdfasdfasfasfsadfasdfsadfasdf"")) val df2 = spark.range(10).join(broadcast(df), Seq(""id""), ""left_outer"") df2.collect {code} This will cause the driver to hang indefinitely. Heres a thread dump of the {{main}} thread when its stuck {code} sun.misc.Unsafe.park(Native Method) java.util.concurrent.locks.LockSupport.park(LockSupport.java:175) java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.await(AbstractQueuedSynchronizer.java:2039) java.util.concurrent.LinkedBlockingQueue.take(LinkedBlockingQueue.java:442) org.apache.spark.sql.execution.adaptive.AdaptiveSparkPlanExec.$anonfun$getFinalPhysicalPlan$1(AdaptiveSparkPlanExec.scala:285) org.apache.spark.sql.execution.adaptive.AdaptiveSparkPlanExec$$Lambda$2819/629294880.apply(Unknown Source) org.apache.spark.sql.SparkSession.withActive(SparkSession.scala:809) org.apache.spark.sql.execution.adaptive.AdaptiveSparkPlanExec.getFinalPhysicalPlan(AdaptiveSparkPlanExec.scala:236) => holding Monitor(java.lang.Object@1932537396}) org.apache.spark.sql.execution.adaptive.AdaptiveSparkPla"
13526002,table directory will lost on hdfs when `INSERT OVERWRITE` faild,Closed,Critical,Cannot Reproduce,"{color:#4c9aff}when a `{*}INSERT{*} OVERWRITE *TABLE`* statment faild during execution, the table's directory will be deleted. this is not happen in spark 3.2.1.{color} {color:#4c9aff}for example: {color} *CREATE* *TABLE* *IF* *NOT* *EXISTS* test.spark32_overwrite(amt1 {*}int{*}) STORED *AS* ORC; *INSERT* OVERWRITE *TABLE* test.spark32_overwrite *select* 128; *CREATE* *TABLE* *IF* *NOT* *EXISTS* test.spark32_overwrite2(amt1 long) STORED *AS* ORC; *INSERT* OVERWRITE *TABLE* test.spark32_overwrite *select* 6000044164; *INSERT* OVERWRITE *TABLE* test.spark32_overwrite *select* amt1 *from* test.spark32_overwrite2; – {color:#de350b}*this will got Casting overflow exception*{color} {color:#4c9aff}and then :{color} *select* * *from* test.spark32_overwrite; {color:#4c9aff}will got error:{color} {color:#172b4d}java.io.FileNotFoundException{color} {color:#172b4d}!image-2023-02-24-15-21-55-273.png!{color} {color:#172b4d}the table's directory is losted. use `hdfs dfs -ls` cmd to check:{color} !image-2023-02-24-15-23-32-977.png!"
13526097,Spark Connect Scala Client,Reopened,Major,,This is the EPIC to track all the work for the Spark Connect Scala Client.
13526136,Provide a mode to replace Py4J for local communication,Resolved,Major,Duplicate,"We can replace Py4J even when master is specified. e.g., SparkSession.builder.master(""..."") and communicate w/ JVM via Spark Connect instead of Py4J."
13525277,SPIP: Shutting down spark structured streaming when the streaming process completed current process,Open,Major,,"Spark Structured Streaming is a very useful tool in dealing with Event Driven Architecture. In an Event Driven Architecture, there is generally a main loop that listens for events and then triggers a call-back function when one of those events is detected. In a streaming application the application waits to receive the source messages in a set interval or whenever they happen and reacts accordingly. There are occasions that you may want to stop the Spark program gracefully. Gracefully meaning that Spark application handles the last streaming message completely and terminates the application. This is different from invoking interrupts such as CTRL-C. Of course one can terminate the process based on the following # query.awaitTermination() # Waits for the termination of this query, with stop() or with error # query.awaitTermination(timeoutMs) # Returns true if this query is terminated within the timeout in milliseconds. So the first one above waits until an interrupt signal is received. The second one will count the timeout and will exit when timeout in milliseconds is reached. The issue is that one needs to predict how long the streaming job needs to run. Clearly any interrupt at th"
